S7OU.SI,Asian Pay Television Trust
5MZ.SI,Kingsmen Creatives Ltd.
C13.SI,CH Offshore Ltd.
Y92.SI,Thai Beverage Public Company Limited
J03.SI,Jadason Enterprises Ltd
BCV.SI,Qian Hu Corporation Limited
S08.SI,Singapore Post Limited
J17.SI,Jackspeed Corporation Limited
MV4.SI,Mewah International Inc.
S41.SI,Hong Leong Finance Limited
F83.SI,COSCO Corporation (Singapore) Limited
BGO.SI,Universal Resource And Services Limited
Y35.SI,CEFC International Limited
588.SI,Health Management International Ltd
C61U.SI,CapitaLand Commercial Trust
P40U.SI,Starhill Global REIT
E28.SI,Frencken Group Limited
F34.SI,Wilmar International Limited
U96.SI,Sembcorp Industries Ltd
F9D.SI,Boustead Singapore Limited
558.SI,UMS Holdings Limited
5GI.SI,Interra Resources Limited
B73.SI,Global Investments Limited
MR7.SI,Nordic Group Limited
5NF.SI,Mencast Holdings Ltd.
S10.SI,Super Group Ltd.
K03.SI,Khong Guan Flour Milling Limited
QS0.SI,CIMBASEAN40 S$D
G11.SI,Global Tech (Holdings) Limited
C52.SI,ComfortDelGro Corporation Limited
C2PU.SI,Parkway Life Real Estate Investment Trust
5PF.SI,$ Jason Marine
Y06.SI,Green Build Technology Limited
P8Z.SI,Bumitama Agri Ltd.
U14.SI,UOL Group Limited
5OR.SI,$ Heatec Jietong
M26.SI,Memtech International Ltd.
QS9.SI,Global Invacom Group Limited
M01.SI,Metro Holdings Limited
C07.SI,Jardine Cycle & Carriage Limited
BEW.SI,JB Foods Limited
N21.SI,Noble Group Limited
O2R.SI,Chinasing Investment Holdings Limited
H07.SI,Stamford Land Corporation Ltd
D1R.SI,ARA Asset Mgt
5CF.SI,OKP Holdings Limited
K2LU.SI,Cache Logistics Trust
T6I.SI,ValueMax Group Limited
M11.SI,Manufacturing Integration Technology Ltd.
UD1U.SI,IREIT Global
5DM.SI,Ying Li International Real Estate Limited
EB7.SI,KTL Global Limited
LJ3.SI,OUE Limited
O87.SI,GLD US$
S68.SI,Singapore Exchange Limited
BJE.SI,Jaya Holdings Limited
RF7.SI,Gaylin Holdings Limited
Q0F.SI,IHH Healthcare Berhad
Q01.SI,QAF Limited
AWS.SI,Global Yellow Pages Limited
T15.SI,Tan Chong International Ltd.
M35.SI,Wheelock Properties (Singapore) Limited
40W.SI,$ ZICO Hldgs
T14.SI,Tianjin Zhongxin Pharmaceutical Group Corporation Limited
S21.SI,Genting Hong Kong Limited
K71U.SI,Keppel REIT
A50.SI,Rowsley Ltd.
S3N.SI,OKH Global Ltd.
C6L.SI,Singapore Airlines Limited
D2U.SI,Cacola Furniture International Limited
C8R.SI,Jiutian Chemical Group Limited
F13.SI,Fu Yu Corporation Limited
D05.SI,DBS Group Holdings Ltd
5G2.SI,$ KimHeng Offshore
MS7.SI,Vard Holdings Limited
G13.SI,Genting Singapore PLC
V03.SI,Venture Corporation Limited
42R.SI,Jumbo Group Limited
C38U.SI,CapitaLand Mall Trust
I04.SI,Xpress Holdings Ltd
N33.SI,Nomura Yen1k
J18.SI,China Jishan Holdings Limited
RF1U.SI,Religare Health Trust
J69U.SI,Frasers Centrepoint Trust
LF2.SI,DBXT MSJAP US$
5OS.SI,$ Jubilee Ind
BJV.SI,Yamada Green Resources Limited
40S.SI,Perennial Real Estate Holdings Limited
RC5.SI,Triyards Holdings Limited
UQ4.SI,EMAS Offshore Limited
BN4.SI,Keppel Corporation Limited
S63.SI,Singapore Technologies Engineering Ltd
D03.SI,Del Monte Pacific Limited
5DL.SI,Koon Holdings Limited
MC0.SI,Global Logistic Properties Limited
ADQU.SI,Accordia Golf Trust
O39.SI,Oversea-Chinese Banking Corporation Limited
RQ1.SI,Overseas Education Limited
OV8.SI,Sheng Siong Group Ltd.
MN5.SI,XinRen Aluminum Holdings Limited
5EG.SI,$ Zhongxin Fruit
AW9U.SI,First Real Estate Investment Trust
569.SI,Vicplas International Ltd
D01.SI,Dairy Farm International Holdings Limited
E5H.SI,Golden Agri-Resources Ltd
NF1.SI,Sapphire Corporation Limited
557.SI,$ Viking Offshore
M9F.SI,XMH Holdings Ltd.
S51.SI,Sembcorp Marine Ltd
O32.SI,Olam International Limited
T8JU.SI,Saizen Real Estate Investment Trust
Y45.SI,Singapore Myanmar Investco Limited
N2IU.SI,Mapletree Com Tr
J2T.SI,Hock Lian Seng Holdings Limited
M1Z.SI,TEE International Limited
T82U.SI,Suntec Real Estate Investment Trust
M1GU.SI,Sabana Reit
R01.SI,Raffles Medical Group Ltd
QC7.SI,Q & M Dental Group (Singapore) Limited
Y03.SI,Yeo Hiap Seng Limited
Z74.SI,Singapore Telecommunications Limited
T03.SI,Tat Hong Holdings Ltd
Z59.SI,Yoma Strategic Holdings Ltd.
5UX.SI,Oxley Holdings Limited
A68U.SI,Ascott Residence Trust
M30.SI,Meghmani Organics Limited
BN2.SI,Valuetronics Holdings Limited
AXB.SI,Yongnam Holdings Limited
QF6.SI,Swee Hong Limited
G92.SI,China Aviation Oil (Singapore) Corporation Ltd
M04.SI,Mandarin Oriental International Limited
U11.SI,United Overseas Bank Limited
T4B.SI,Sino Grandness Food Industry Group Limited
AXZ.SI,Li Heng Chemical Fibre Technologies Limited
J91U.SI,Cambridge Industrial Trust
E16.SI,Elec & Eltek International Company Limited
MU7.SI,DBS Bank Ltd.
S58.SI,SATS Ltd.
ND8U.SI,Frasers Commercial Trust
S35.SI,Sing Investments & Finance Limited
J85.SI,CDL Hospitality Trusts
BAC.SI,Jacks International Limited
I9T.SI,Ziwo Holdings Ltd.
AJBU.SI,Keppel DC Reit
H02.SI,Haw Par Corporation Limited
W05.SI,Wing Tai Holdings Limited
5IG.SI,Gallant Venture Ltd.
B2F.SI,M1 Limited
Q1P.SI,Ascendas Hospitality Trust
OU8.SI,Centurion Corporation Limited
O5RU.SI,AIMSAMP Cap Reit
C31.SI,CapitaLand Limited
C9Q.SI,Sinostar PEC Holdings Limited
NR7.SI,Raffles Education Corporation Limited
H78.SI,Hongkong Land Holdings Limited
EB5.SI,First Resources Limited
N4E.SI,Nam Cheong Limited
NO4.SI,Dyna-Mac Holdings Ltd.
G0I.SI,Nam Lee Pressed Metal Industries Limited
5ML.SI,$ Old Chang Kee
CC3.SI,StarHub Ltd.
Q5T.SI,Far East Hospitality Trust
E9L.SI,Joyas International Holdings Limited
S91.SI,Alibaba Pictures Group Limited
Z25.SI,Yanlord Land Group Limited
V01.SI,VICOM Ltd
U6C.SI,PACC Offshore Services Holdings Ltd.
5AU.SI,AP Oil International Limited
RS1.SI,China Environmental Resources Group Limited
J36.SI,Jardine Matheson Holdings Limited
5OI.SI,$ Japan Foods
M44U.SI,Mapletree Logistics Trust
Q0X.SI,Ley Choon Group Holdings Limited
K22.SI,Raffles United Holdings Ltd.
U04.SI,United Engineers Limited
O9P.SI,IS ASIA HYG US$
N01.SI,Nera Telecommunications Ltd